0
阿朵 中国内地女歌手、演员 代表作：水果姑娘、熊猫大侠、专列一号等
黄圣依 中国内地女演员、歌手 代表作：功夫、天仙配、碧血剑、白蛇传说等
金莎 中国内地女歌手、演员 代表作：十八岁的天空、星月神话、被风吹过的夏天等
孟佳 中国内地女歌手、演员 代表作：BAD BUT GOOD、A CLASS等
王丽坤 中国内地女演员 代表作：五号特工组、美人心计、武动乾坤等
许飞 中国内地女歌手 代表作：父亲写的散文诗、我要的飞翔、左半边翅膀等
张雨绮 中国内地女演员 代表作：长江七号、美人鱼、白鹿原等
郑希怡 中国香港女歌手、演员 代表作：小鱼儿与花无缺、剩女的黄金时代等
白冰 中国内地女演员 代表作：画皮之真爱无悔、神话、隐婚男女等
黄龄 中国内地女歌手、戏剧演员 代表作：痒、High歌、特别、来日方长等
蓝盈莹 中国内地女演员 代表作：甄嬛传、外科风云、环太平洋：雷霆再起等
宁静 中国内地女演员 代表作：新上海滩、白银谷、孝庄秘史等
王霏霏 中国内地女歌手、演员 代表作：BADBUT GOOD、不要急Fantasy等
郁可唯 中国内地女歌手 代表作：时间煮雨、知否知否、时光正好等
张含韵 中国内地女歌手、演员 代表作：想唱就唱、酸酸甜甜就是我、初恋未满等
朱婧汐 中国内地女歌手、音乐人 代表作：以梦为马、美丽骏马、夏的最后一日等
陈松伶 中国香港女演员、歌手 代表作：笑看风云、天地男儿、金玉满堂等
海陆 中国内地女演员 代表作：新还珠格格、我家有喜、因为爱情有多美等
李斯丹妮 中国内地女歌手、演员 代表作：请叫我女王陛下、Animal、热血街头等
吴昕 中国内地主持人、演员 代表作：快乐大本营、快乐到家、爱in思谈等
王智 中国内地女演员 代表作：人间·喜剧、夏洛特烦恼、下一个奇迹等
伊能静 中国台湾女歌手、演员 代表作：好男好女、国 道封闭、失恋高跟鞋等
张萌 中国内地女演员 代表作：神话、宝贝、小丈夫等
丁当 中国内地女歌手 代表作：猜不透、我爱他、好难得等
金晨 中国内地女演员、模特 代表作：无心法师、楚汉争雄、极品家丁等
刘芸 中国内地女演员 代表作：大汉天子2、鹿鼎记、新一剪梅等
沈梦辰 中国内地主持人、演员 代表作：全力以赴、妻子的谎言、我的奇妙男友等
万茜 中国内地女演员、歌手 代表作：军中乐园、猎场、万有引力等
袁咏琳 美籍华语女歌手、演员 代表作：画沙、2 be Different、第一次等
钟丽缇 中国香港女演员 代表作：中南海保镖、人鱼传说、破坏之王等
