date,MEDV1
2020/1/1,24
2020/1/2,21.6
2020/1/3,34.7
2020/1/4,33.4
2020/1/5,36.2
2020/1/6,28.7
2020/1/7,22.9
2020/1/8,27.1
2020/1/9,16.5
2020/1/10,18.9
2020/1/11,15
2020/1/12,18.9
2020/1/13,21.7
2020/1/14,20.4
2020/1/15,18.2
2020/1/16,19.9
2020/1/17,23.1
2020/1/18,17.5
2020/1/19,20.2
2020/1/20,18.2
2020/1/21,13.6
2020/1/22,19.6
2020/1/23,15.2
2020/1/24,14.5
2020/1/25,15.6
2020/1/26,13.9
2020/1/27,16.6
2020/1/28,14.8
2020/1/29,18.4
2020/1/30,21
2020/1/31,12.7
2020/2/1,14.5
2020/2/2,13.2
2020/2/3,13.1
2020/2/4,13.5
2020/2/5,18.9
2020/2/6,20
2020/2/7,21
2020/2/8,24.7
2020/2/9,30.8
2020/2/10,34.9
2020/2/11,26.6
2020/2/12,25.3
2020/2/13,24.7
2020/2/14,21.2
2020/2/15,19.3
2020/2/16,20
2020/2/17,16.6
2020/2/18,14.4
2020/2/19,19.4
2020/2/20,19.7
2020/2/21,20.5
2020/2/22,25
2020/2/23,23.4
2020/2/24,18.9
2020/2/25,35.4
2020/2/26,24.7
2020/2/27,31.6
2020/2/28,23.3
2020/2/29,19.6
2020/3/1,18.7
2020/3/2,16
2020/3/3,22.2
2020/3/4,25
2020/3/5,33
2020/3/6,23.5
2020/3/7,19.4
2020/3/8,22
2020/3/9,17.4
2020/3/10,20.9
2020/3/11,24.2
2020/3/12,21.7
2020/3/13,22.8
2020/3/14,23.4
2020/3/15,24.1
2020/3/16,21.4
2020/3/17,20
2020/3/18,20.8
2020/3/19,21.2
2020/3/20,20.3
2020/3/21,28
2020/3/22,23.9
2020/3/23,24.8
2020/3/24,22.9
2020/3/25,23.9
2020/3/26,26.6
2020/3/27,22.5
2020/3/28,22.2
2020/3/29,23.6
2020/3/30,28.7
2020/3/31,22.6
2020/4/1,22
2020/4/2,22.9
2020/4/3,25
2020/4/4,20.6
2020/4/5,28.4
2020/4/6,21.4
2020/4/7,38.7
2020/4/8,43.8
2020/4/9,33.2
2020/4/10,27.5
2020/4/11,26.5
2020/4/12,18.6
2020/4/13,19.3
2020/4/14,20.1
2020/4/15,19.5
2020/4/16,19.5
2020/4/17,20.4
2020/4/18,19.8
2020/4/19,19.4
2020/4/20,21.7
2020/4/21,22.8
2020/4/22,18.8
2020/4/23,18.7
2020/4/24,18.5
2020/4/25,18.3
2020/4/26,21.2
2020/4/27,19.2
2020/4/28,20.4
2020/4/29,19.3
2020/4/30,22
2020/5/1,20.3
2020/5/2,20.5
2020/5/3,17.3
2020/5/4,18.8
2020/5/5,21.4
2020/5/6,15.7
2020/5/7,16.2
2020/5/8,18
2020/5/9,14.3
2020/5/10,19.2
2020/5/11,19.6
2020/5/12,23
2020/5/13,18.4
2020/5/14,15.6
2020/5/15,18.1
2020/5/16,17.4
2020/5/17,17.1
2020/5/18,13.3
2020/5/19,17.8
2020/5/20,14
2020/5/21,14.4
2020/5/22,13.4
2020/5/23,15.6
2020/5/24,11.8
2020/5/25,13.8
2020/5/26,15.6
2020/5/27,14.6
2020/5/28,17.8
2020/5/29,15.4
2020/5/30,21.5
2020/5/31,19.6
2020/6/1,15.3
2020/6/2,19.4
2020/6/3,17
